,Crisis,Risk-Off,Neutral,Risk-On
Short-term treasury index,5.671523269972835,4.5092404047651815,4.218601835748355,4.6034029832840195
US TIPS 0-5 Years,0.3441704679864168,1.6419797111266923,1.3324237865440507,1.2192461333550317
US TIPS 1-5 years,0.11062908277716824,1.603119566692071,1.3938150434639807,0.9339014280031113
US Treasury Inflation Notes 1-10 Years,1.0982912340711266,1.405463379917278,0.8530973556326455,0.7861697447439091
US Aggregate 10 or 10+ Years,1.2449559938701125,0.43741510091008867,-0.24982842211319287,0.8208396219840913
US Aggregate,1.6774612875414012,0.9219516478817931,0.5425112618990834,1.4253329906523615
US Corporate HY,-0.08060800378371552,1.8591591825415539,0.9957783513400562,2.002859291031787
US Corporate IG,1.037291359727786,0.9618187756147303,0.2950156010146201,1.3893129293653477
US Treasury,2.1074472135705906,0.6471940353931612,0.21085360262792818,0.9884584710534258
CHF,-0.4215774934195651,0.05936112958512661,-0.734305653886591,-0.14108487026623634
Gold,0.970884476625698,0.8269121164464526,0.4131480875950165,0.3404085321061008
JPY,-0.3690062286813698,-0.4087033932066843,-0.2912424691856459,0.14178916232137123
US treasury 1-3 Year,3.222025487559671,1.8013449825320136,1.0401445208082751,2.058292083438326
US Treasury 20+ Years,1.2860118648843415,0.19777743623491797,-0.22840330595717262,0.5875428684648039
US Treasury 10+ Years,1.3829900537833146,0.25758682699316016,0.04734533098485655,0.7917848773023054
