,Rule,SAA,Barbell_LongShort,Barbell_Diversified,Capital_Preservation,Gov_Long_Only
Short-term treasury index,0.03305033353547605,0.048076923076923093,0.25,0.20000000000000004,0.07894736842105264,0.0
US TIPS 0-5 Years,0.0,0.048076923076923093,0.0,0.0,0.0,0.0
US TIPS 1-5 years,0.0,0.048076923076923093,0.0,0.0,0.0,0.0
US Treasury Inflation Notes 1-10 Years,0.0,0.09615384615384619,0.0,0.0,0.0,0.0
US Aggregate 10 or 10+ Years,0.04032747119466345,0.07211538461538461,0.125,0.10000000000000002,0.09210526315789473,0.25
US Aggregate,0.2080048514251062,0.14423076923076922,0.0,0.10000000000000002,0.23684210526315794,0.0
US Corporate HY,0.3080654942389328,0.09615384615384619,0.0,0.0,0.0,0.0
US Corporate IG,0.2080048514251062,0.14423076923076922,0.0,0.10000000000000002,0.23684210526315794,0.0
US Treasury,0.04032747119466345,0.07211538461538461,0.125,0.10000000000000002,0.09210526315789473,0.25
CHF,0.012128562765312314,0.00961538461538462,0.0,0.0,0.0,0.0
Gold,0.02425712553062463,0.01923076923076924,0.0,0.0,0.0,0.0
JPY,0.012128562765312314,0.00961538461538462,0.0,0.0,0.0,0.0
US treasury 1-3 Year,0.03305033353547605,0.048076923076923093,0.25,0.20000000000000004,0.07894736842105264,0.0
US Treasury 20+ Years,0.04032747119466345,0.07211538461538461,0.125,0.10000000000000002,0.09210526315789473,0.25
US Treasury 10+ Years,0.04032747119466345,0.07211538461538461,0.125,0.10000000000000002,0.09210526315789473,0.25
