,Rule,SAA,Barbell_LongShort,Barbell_Diversified,Capital_Preservation,Gov_Long_Only
Short-term treasury index,0.13871604133696372,0.0480769230769231,0.25,0.20000000000000007,0.07894736842105263,0.0
US TIPS 0-5 Years,0.022556551651999733,0.0480769230769231,0.0,0.0,0.0,0.0
US TIPS 1-5 years,0.022556551651999733,0.0480769230769231,0.0,0.0,0.0,0.0
US Treasury Inflation Notes 1-10 Years,0.030075402202666312,0.0961538461538462,0.0,0.0,0.0,0.0
US Aggregate 10 or 10+ Years,0.0711787228269817,0.07211538461538461,0.125,0.10000000000000003,0.09210526315789472,0.25
US Aggregate,0.11592441959294802,0.14423076923076922,0.0,0.10000000000000003,0.23684210526315783,0.0
US Corporate HY,0.039921547759897986,0.0961538461538462,0.0,0.0,0.0,0.0
US Corporate IG,0.11592441959294802,0.14423076923076922,0.0,0.10000000000000003,0.23684210526315783,0.0
US Treasury,0.0711787228269817,0.07211538461538461,0.125,0.10000000000000003,0.09210526315789472,0.25
CHF,0.016830852898013973,0.00961538461538462,0.0,0.0,0.0,0.0
Gold,0.057232427769658,0.01923076923076924,0.0,0.0,0.0,0.0
JPY,0.016830852898013973,0.00961538461538462,0.0,0.0,0.0,0.0
US treasury 1-3 Year,0.13871604133696372,0.0480769230769231,0.25,0.20000000000000007,0.07894736842105263,0.0
US Treasury 20+ Years,0.0711787228269817,0.07211538461538461,0.125,0.10000000000000003,0.09210526315789472,0.25
US Treasury 10+ Years,0.0711787228269817,0.07211538461538461,0.125,0.10000000000000003,0.09210526315789472,0.25
