,Rule,SAA,Barbell_LongShort,Barbell_Diversified,Capital_Preservation,Gov_Long_Only
Short-term treasury index,0.07020210744769904,0.048076923076923093,0.25,0.20000000000000004,0.07894736842105263,0.0
US TIPS 0-5 Years,0.0,0.048076923076923093,0.0,0.0,0.0,0.0
US TIPS 1-5 years,0.0,0.048076923076923093,0.0,0.0,0.0,0.0
US Treasury Inflation Notes 1-10 Years,0.0,0.09615384615384619,0.0,0.0,0.0,0.0
US Aggregate 10 or 10+ Years,0.07229552898754678,0.07211538461538462,0.125,0.10000000000000002,0.09210526315789473,0.25
US Aggregate,0.18772818144200565,0.14423076923076925,0.0,0.10000000000000002,0.23684210526315785,0.0
US Corporate HY,0.1368758364821092,0.09615384615384619,0.0,0.0,0.0,0.0
US Corporate IG,0.18772818144200565,0.14423076923076925,0.0,0.10000000000000002,0.23684210526315785,0.0
US Treasury,0.07229552898754678,0.07211538461538462,0.125,0.10000000000000002,0.09210526315789473,0.25
CHF,0.011523499906862404,0.009615384615384616,0.0,0.0,0.0,0.0
Gold,0.035034469974569576,0.019230769230769232,0.0,0.0,0.0,0.0
JPY,0.011523499906862404,0.009615384615384616,0.0,0.0,0.0,0.0
US treasury 1-3 Year,0.07020210744769904,0.048076923076923093,0.25,0.20000000000000004,0.07894736842105263,0.0
US Treasury 20+ Years,0.07229552898754678,0.07211538461538462,0.125,0.10000000000000002,0.09210526315789473,0.25
US Treasury 10+ Years,0.07229552898754678,0.07211538461538462,0.125,0.10000000000000002,0.09210526315789473,0.25
