,Rule,SAA,Barbell_LongShort,Barbell_Diversified,Capital_Preservation,Gov_Long_Only
Short-term treasury index,0.1989509061601339,0.048076923076923093,0.25,0.20000000000000004,0.07894736842105263,0.0
US TIPS 0-5 Years,0.003073484213467448,0.048076923076923093,0.0,0.0,0.0,0.0
US TIPS 1-5 years,0.0,0.048076923076923093,0.0,0.0,0.0,0.0
US Treasury Inflation Notes 1-10 Years,0.07155353887952737,0.09615384615384619,0.0,0.0,0.0,0.0
US Aggregate 10 or 10+ Years,0.06134111904770023,0.07211538461538462,0.125,0.10000000000000002,0.09210526315789473,0.25
US Aggregate,0.07169781445807301,0.14423076923076925,0.0,0.10000000000000002,0.23684210526315785,0.0
US Corporate HY,0.0042352196730513205,0.09615384615384619,0.0,0.0,0.0,0.0
US Corporate IG,0.07169781445807301,0.14423076923076925,0.0,0.10000000000000002,0.23684210526315785,0.0
US Treasury,0.06134111904770023,0.07211538461538462,0.125,0.10000000000000002,0.09210526315789473,0.25
CHF,0.02455743615921623,0.00961538461538462,0.0,0.0,0.0,0.0
Gold,0.08536096748830685,0.01923076923076924,0.0,0.0,0.0,0.0
JPY,0.02455743615921623,0.00961538461538462,0.0,0.0,0.0,0.0
US treasury 1-3 Year,0.1989509061601339,0.048076923076923093,0.25,0.20000000000000004,0.07894736842105263,0.0
US Treasury 20+ Years,0.06134111904770023,0.07211538461538462,0.125,0.10000000000000002,0.09210526315789473,0.25
US Treasury 10+ Years,0.06134111904770023,0.07211538461538462,0.125,0.10000000000000002,0.09210526315789473,0.25
