Date,Short-term treasury index,US TIPS 0-5 Years,US TIPS 1-5 years,US Treasury Inflation Notes 1-10 Years,US Aggregate 10 or 10+ Years,US Aggregate,US Corporate HY,US Corporate IG,US Treasury,CHF,Gold,JPY,US treasury 1-3 Year,US Treasury 20+ Years,US Treasury 10+ Years
31-12-2024,0.004391166,-0.001017576,-0.002578655,-0.0088345,-0.047517623,-0.01636523,-0.004264036,-0.019353569,-0.015407897,0.012146668,-0.024390244,0.000661624,0.002250926,-0.05991204,-0.053202719
29-11-2024,0.00357267,0.004329651,0.0042727,0.004535893,0.020018622,0.010571391,0.011505342,0.013377078,0.007772492,0.022756299,0.020916335,0.025496544,0.002882545,0.018732987,0.018151334
31-10-2024,0.002617523,-0.004358003,-0.006614537,-0.013200999,-0.046698555,-0.024798842,-0.005406092,-0.02427133,-0.023811135,0.016643059,0.062433862,0.0485254,-0.00607525,-0.05414741,-0.052055983
30-09-2024,0.005384267,0.010127017,0.011149861,0.012844941,0.023106806,0.013391194,0.016180984,0.017729752,0.012023027,-0.012472316,0.036184211,-0.022630981,0.008108014,0.019149907,0.020224279
30-08-2024,0.00540769,0.005809209,0.006060092,0.006913433,0.02080651,0.014366547,0.016309943,0.01572627,0.012792391,-0.037905125,0.024719101,-0.071446347,0.009023876,0.022582204,0.020366482
31-07-2024,0.005507598,0.008705109,0.010467577,0.01487176,0.033478816,0.023357542,0.019441442,0.023835002,0.021878668,-0.002349519,0.00678733,-0.00216521,0.011651037,0.035909742,0.035742197
28-06-2024,0.004140076,0.006155009,0.006850595,0.007610865,0.011630411,0.009471006,0.009443508,0.006360848,0.010085417,-0.016505282,0.012600229,0.012772897,0.005823716,0.017764268,0.016507094
31-05-2024,0.004739398,0.009227883,0.010619931,0.01385507,0.027742935,0.016953286,0.01098738,0.01872991,0.014567691,-0.001208924,0.010416667,0.012860485,0.007052135,0.029298994,0.028565709
30-04-2024,0.003531058,-0.001353498,-0.003292886,-0.010217244,-0.054271409,-0.025260695,-0.009401872,-0.025447371,-0.023273962,0.02397029,0.069306931,0.027175531,-0.003799419,-0.066060842,-0.060920479
29-03-2024,0.004277366,0.006337234,0.006486676,0.008006569,0.015285158,0.00923504,0.011833106,0.012929238,0.006425961,0.01311139,0.052083333,0.001360826,0.003525053,0.010600526,0.012322378
29-02-2024,0.002901199,-0.001877354,-0.004075439,-0.008985792,-0.024297515,-0.014127622,0.002919531,-0.015029995,-0.013119302,0.020952159,-0.011583012,0.022698765,-0.0043335,-0.021742035,-0.022826276
31-01-2024,0.004134596,0.003992133,0.00383163,0.003675595,-0.015164151,-0.002747456,-4.03234E-05,-0.001701309,-0.002806213,-0.006591119,0.01171875,0.016063175,0.003630351,-0.027193866,-0.022016647
29-12-2023,0.005531501,0.011474381,0.013178814,0.020739248,0.073128413,0.038279971,0.037280096,0.04335306,0.03365018,-0.028532914,0.019920319,-0.038064792,0.011562375,0.090467839,0.086086368
30-11-2023,0.005295641,0.01044888,0.011848073,0.019045596,0.086175088,0.045284326,0.045304302,0.059782497,0.034729594,-0.014720531,0.092888244,0.000572887,0.010359649,0.099959081,0.091561666
31-10-2023,0.004477182,0.003842483,0.003573455,-0.001237492,-0.039920008,-0.015780476,-0.011645745,-0.018725683,-0.01208319,0.00433526,-0.054869684,0.011825222,0.003428192,-0.054687788,-0.04934783
29-09-2023,0.004215894,-0.001778307,-0.003150721,-0.010149442,-0.057276237,-0.025414099,-0.011828255,-0.026694469,-0.022094158,0.024251395,-0.010854817,0.02116723,-0.000294811,-0.078956298,-0.072944181
31-08-2023,0.004369381,0.001155626,0.000401117,-0.004425087,-0.021504243,-0.006387101,0.002770427,-0.007768506,-0.005182306,0.006878368,0.013755158,0.02727763,0.003884429,-0.031529829,-0.027882077
31-07-2023,0.004432462,0.004907825,0.005145531,0.004550228,-0.00979437,-0.000693249,0.013795798,0.003447161,-0.003540102,-0.031208352,-0.020215633,-0.002986033,0.003452372,-0.024584515,-0.021678724
30-06-2023,0.003999192,-0.001890245,-0.003224966,-0.004841687,0.005650904,-0.003568213,0.01673221,0.004116912,-0.007509197,0.003007686,-0.026246719,0.03141043,-0.005170249,0.001605214,-0.000165866
31-05-2023,0.002503381,-0.007039877,-0.00867369,-0.011329981,-0.027163646,-0.010889643,-0.009161914,-0.014484748,-0.011609589,-0.000890373,0.003952569,0.026811863,-0.003496117,-0.029127575,-0.027947566
28-04-2023,0.002745305,0.002086147,0.002243533,0.001932234,0.007078948,0.006063307,0.009986617,0.007655876,0.005359005,-0.02917342,0.095238095,-0.001419975,0.002656729,0.0042099,0.005209404
31-03-2023,0.005947958,0.01896889,0.021651325,0.02798567,0.043479816,0.025399094,0.010687071,0.02784274,0.028944558,-0.000324044,-0.04281768,0.004645,0.016389139,0.04745746,0.047400361
28-02-2023,0.002193294,-0.003787039,-0.006168846,-0.011846763,-0.049407484,-0.025855211,-0.012854411,-0.03180948,-0.023399295,0.001839628,0.037249284,0.019922191,-0.007740399,-0.048790756,-0.047435897
